1024
-11.131420,1,1,8
-10.919907,1,1,7
-10.458708,1,1,6
-10.234872,2,1,8
-10.100680,2,1,7
-9.930867,1,1,5
-9.865006,1,2,8
-9.763839,2,1,6
-9.731542,1,2,7
-9.402019,1,1,4
-9.396863,1,2,6
-9.330897,2,1,5
-9.300817,3,1,8
-9.210555,3,1,7
-9.119941,2,2,8
-9.017895,2,2,7
-8.967441,1,2,5
-8.967441,3,1,6
-8.893724,1,1,3
-8.868192,2,1,4
-8.748669,2,2,6
-8.628366,3,1,5
-8.531283,1,3,8
-8.509499,1,2,4
-8.442665,1,3,7
-8.413532,1,1,2
-8.407580,2,1,3
-8.383139,2,2,5
-8.383139,4,1,8
-8.318903,4,1,7
-8.279792,3,2,8
-8.243005,3,1,4
-8.204417,1,3,6
-8.204417,3,2,7
-8.139632,4,1,6
-8.054743,1,2,3
-7.997716,3,2,6
-7.977233,2,2,4
-7.963803,1,1,1
-7.963650,2,1,2
-7.876742,4,1,5
-7.876669,2,3,8
-7.873250,1,3,5
-7.843415,3,1,3
-7.802237,2,3,7
-7.702452,3,2,5
-7.617596,1,2,2
-7.598328,2,3,6
-7.563718,2,2,3
-7.563718,4,1,4
-7.542903,2,1,1
-7.498558,1,3,4
-7.498558,5,1,8
-7.451145,5,1,7
-7.447945,3,1,2
-7.417709,4,2,8
-7.361723,4,2,7
-7.360029,3,2,4
-7.316193,5,1,6
-7.307590,2,3,5
-7.227034,4,1,3
-7.204382,1,2,1
-7.204382,4,2,6
-7.183337,1,4,8
-7.159894,2,2,2
-7.121873,1,4,7
-7.121873,3,3,8
-7.112042,1,3,3
-7.112042,5,1,5
-7.066523,3,1,1
-7.062751,3,3,7
-6.999980,3,2,3
-6.971253,2,3,4
-6.971253,4,2,5
-6.950804,1,4,6
-6.897670,3,3,6
-6.884711,4,1,2
-6.860770,5,1,4
-6.774427,2,2,1
-6.731653,1,3,2
-6.701214,1,4,5
-6.690933,4,2,4
-6.655628,3,3,5
-6.654400,6,1,8
-6.640603,3,2,2
-6.618630,2,3,3
-6.618630,6,1,7
-6.582389,5,1,3
-6.576671,2,4,8
-6.568130,5,2,8
-6.548050,4,1,1
-6.526084,5,2,7
-6.522830,2,4,7
-6.515598,6,1,6
-6.406081,1,4,4
-6.406081,5,2,6
-6.387206,4,2,3
-6.371824,2,4,6
-6.367959,3,3,4
-6.366904,1,3,1
-6.356558,6,1,5
-6.324611,4,3,8
-6.292404,3,2,1
-6.292404,5,1,2
-6.278796,4,3,7
-6.267776,2,3,2
-6.223768,5,2,5
-6.156151,6,1,4
-6.148943,2,4,5
-6.148943,4,3,6
-6.091237,1,4,3
-6.076986,4,2,2
-6.059713,3,3,3
-6.001728,5,1,1
-5.998430,5,2,4
-5.953997,4,3,5
-5.928948,2,3,1
-5.928948,6,1,3
-5.882353,2,4,4
-5.882353,3,4,8
-5.854580,7,1,8
-5.837783,1,5,8
-5.837783,3,4,7
-5.827273,7,1,7
-5.794518,1,5,7
-5.773997,1,4,2
-5.771228,4,2,1
-5.748221,6,2,8
-5.748001,3,3,2
-5.748001,5,2,3
-5.748001,7,1,6
-5.716414,4,3,4
-5.716414,6,2,7
-5.711604,3,4,6
-5.687365,6,1,2
-5.671824,1,5,6
-5.624711,6,2,6
-5.623944,7,1,5
-5.595307,2,4,3
-5.522582,3,4,5
-5.522582,5,3,8
-5.487506,1,5,5
-5.487506,5,3,7
-5.486704,5,2,2
-5.482965,6,2,5
-5.464934,1,4,1
-5.464934,7,1,4
-5.456110,4,3,3
-5.443459,3,3,1
-5.440966,6,1,1
-5.387003,5,3,6
-5.304135,2,4,2
-5.304135,6,2,4
-5.292902,3,4,4
-5.281416,7,1,3
-5.262824,1,5,4
-5.253529,2,5,8
-5.233350,5,3,5
-5.224718,5,2,1
-5.215132,2,5,7
-5.188102,4,3,2
-5.141365,4,4,8
-5.105893,2,5,6
-5.105893,4,4,7
-5.101281,6,2,3
-5.101281,8,1,8
-5.082938,7,1,2
-5.080337,8,1,7
-5.042147,3,4,3
-5.042147,5,3,4
-5.019207,2,4,1
-5.019207,8,1,6
-5.016773,1,5,3
-5.004594,4,4,6
-4.967323,7,2,8
-4.943219,7,2,7
-4.940945,2,5,5
-4.922598,4,3,1
-4.922598,8,1,5
-4.885657,6,2,2
-4.877389,7,1,1
-4.873244,7,2,6
-4.850644,4,4,5
-4.828427,5,3,3
-4.797187,8,1,4
-4.784979,3,4,2
-4.763744,1,5,2
-4.763744,7,2,5
-4.738781,2,5,4
-4.738781,6,3,8
-4.712188,6,3,7
-4.665995,6,2,1
-4.660512,4,4,4
-4.650408,8,1,3
-4.635393,6,3,6
-4.623453,7,2,4
-4.604514,5,3,2
-4.597128,3,5,8
-4.564909,3,5,7
-4.531248,3,4,1
-4.516374,2,5,3
-4.516374,6,3,5
-4.513525,1,5,1
-4.502789,1,6,8
-4.489426,8,1,2
-4.472820,1,6,7
-4.472820,3,5,6
-4.461694,7,2,3
-4.449732,4,4,3
-4.386906,1,6,6
-4.386906,5,4,8
-4.379475,5,3,1
-4.365792,6,3,4
-4.359510,5,4,7
-4.332692,3,5,5
-4.320491,8,1,1
-4.287027,7,2,2
-4.286902,2,5,2
-4.280706,5,4,6
-4.255496,1,6,5
-4.230727,4,4,2
-4.230727,8,2,8
-4.212533,8,2,7
-4.194593,6,3,3
-4.159452,8,2,6
-4.159452,3,5,4
-4.159452,5,4,5
-4.106531,7,2,1
-4.092002,1,6,4
-4.075630,8,2,5
-4.059514,2,5,1
-4.012377,4,4,1
-4.012377,6,3,2
-4.007475,5,4,4
